12,0
13,0
19,0
42,0
43,0
44,0
56,0
61,0
62,0
85,0
86,0
94,0
102,0
103,0
75,0
57,0
4,1
98,1
67,1
73,1
18,1
53,1
54,1
31,1
59,1
3,1
69,1
99,1
30,1
66,1
29,1
34,1
21,1
78,1
35,2
104,2
28,2
22,2
7,2
68,2
79,2
55,2
106,2
37,2
8,2
6,2
74,2
109,2
77,2
96,2
100,2
108,2
38,2
60,3
1,3
2,3
9,3
10,3
11,3
14,3
15,3
16,3
20,3
23,3
26,3
32,3
33,3
39,3
40,3
47,3
51,3
52,3
58,3
71,3
72,3
80,3
81,3
82,3
83,3
84,3
88,3
89,3
90,3
64,4
70,4
107,4
25,4
95,4
105,4
5,4
45,4
65,4
0,5
24,5
27,5
41,5
46,5
63,5
76,5
87,5
97,5
101,5
36,6
17,6
48,6
49,6
50,6
91,6
92,6
93,6
